Stage 0,Stage 1,Stage 2,Stage 3,Stage 4
0,153.58,290.75,357.15,505.64
0,116.52,223.8,287.53,422.94
0,48.925,97.627,145.42,477.44
0,74.605,147.63,216.9,464.55
0,78.17,155.14,230,584.01
0,148.92,289.13,391.81,606.26
0,95.18,187.7,272.21,506.83
0,67.977,134.56,198.42,446.3
0,164.36,313.3,392.23,564.24
0,130.91,241.72,286.54,392.22
0,109.52,213.23,293.75,463.16
0,118.92,231.84,321.98,512.88
0,141.27,263.89,316.62,438.62
0,226.48,424.33,511.25,711.15
0,105.38,208.48,305.88,643.29
0,97.877,192.52,276.72,484.04
0,174.98,236.27,263.44,304.36
0,87.688,173.49,254.69,539.35
0,127.84,248.31,337.29,523.22
0,177.59,333.98,404.8,566.32
0,150.75,290.99,382.39,574.09
0,6.8265,13.653,20.479,155.46
0,124.02,243.76,348.76,596.37
0,42.905,85.652,127.68,436.83
0,111.88,219.94,315.11,541.87
0,82.777,164.31,243.63,621.84
0,137.81,252.92,298.62,406.7
0,67.205,134.1,199.76,655.84
0,94.047,185.13,266.8,474.28
0,128.23,220.59,254.92,332.37
0,107.85,205.46,256.74,368.75
0,194.11,358.49,425.02,581.89
0,89.789,177.77,262.39,601.1
0,100.73,196.61,274.98,442.54
0,121.75,239.86,346.49,626.96
0,61.215,122.15,181.95,596.84
0,156.87,273.27,316.69,416.05
0,134.72,260.61,346.47,525.81
0,144.5,252.44,292.75,385.26
0,168.82,307.44,361.52,489.44
